Mã,Hàng thường,Cao cấp,Thời gian làm
Trơn ebony,17m,22m,3-4 tháng
Trơn cocobolo,21m,25m,3-4 tháng
Trơn bocote,21m,25m,3-4 tháng
Trơn tulip,27m,30m,3-4 tháng
Exc0601,45m,60m,3-4 tháng
Exc0305,45m,60m,3-4 tháng
Exc14nle,55m,65m,3-4 tháng
Exc21nle,55m,70m,3-4 tháng
Excmi4,45m,70m,3-4 tháng
Excta5,65m,70m,3-4 tháng
Exc171,45m,70m,3-4 tháng
Exc161,65m,70m,3-4 tháng
Exc6s,45m,65m,3-4 tháng
Exc901,45m,65m,3-4 tháng
Zen cues,,Từ 45-10xtr,>6 tháng
BKrush hoặc BKR,"14m chuôi các màu, 14m5 chuôi bọc da sport thêm ngọn + 3m",Chuôi màu night claw 17m5 chuôi sport ngọn thêm 3m,
